template_name,line_order,account_code,account_hint,position,formula,description
Prive / Pengambilan Pribadi,1,3.1.02,,DEBIT,amount,Prive
Prive / Pengambilan Pribadi,2,,BANK,CREDIT,amount,Pembayaran dari bank
Beban Admin Bank,1,5.5.01,,DEBIT,amount,Beban admin bank
Beban Admin Bank,2,,BANK,CREDIT,amount,Potongan dari bank
Setor PPh 21,1,2.1.20,,DEBIT,amount,Hutang PPh 21
Setor PPh 21,2,,BANK,CREDIT,amount,Pembayaran dari bank
Setor PPN,1,2.1.03,,DEBIT,amount,Hutang PPN
Setor PPN,2,,BANK,CREDIT,amount,Pembayaran dari bank
Bayar PPh Final UMKM,1,5.9.01,,DEBIT,amount,Beban PPh Final
Bayar PPh Final UMKM,2,,BANK,CREDIT,amount,Pembayaran dari bank
Bayar Hutang Gaji,1,2.1.10,,DEBIT,amount,Hutang gaji
Bayar Hutang Gaji,2,,BANK,CREDIT,amount,Pembayaran dari bank
Bayar Hutang BPJS,1,2.1.13,,DEBIT,amount,Hutang BPJS
Bayar Hutang BPJS,2,,BANK,CREDIT,amount,Pembayaran dari bank
Cashback dari Marketplace,1,,BANK,DEBIT,amount,Penerimaan kas/bank
Cashback dari Marketplace,2,4.2.03,,CREDIT,amount,Cashback marketplace
Post Gaji Bulanan,1,5.4.01,,DEBIT,grossSalary,Beban gaji karyawan
Post Gaji Bulanan,2,5.4.02,,DEBIT,companyBpjs,Beban BPJS perusahaan
Post Gaji Bulanan,3,2.1.10,,CREDIT,netPay,Hutang gaji karyawan
Post Gaji Bulanan,4,2.1.13,,CREDIT,totalBpjs,Hutang BPJS
Post Gaji Bulanan,5,2.1.20,,CREDIT,pph21,Hutang PPh 21
Pembelian Aset Tetap,1,,ASET_TETAP,DEBIT,assetCost,Aset tetap yang dibeli
Pembelian Aset Tetap,2,,BANK,CREDIT,assetCost,Pembayaran dari bank
Jurnal Manual,1,,Akun Debit,DEBIT,amount,Akun yang didebit
Jurnal Manual,2,,Akun Kredit,CREDIT,amount,Akun yang dikredit
Penyusutan Aset,1,,BEBAN_PENYUSUTAN,DEBIT,depreciationAmount,Beban penyusutan
Penyusutan Aset,2,,AKUM_PENYUSUTAN,CREDIT,depreciationAmount,Akumulasi penyusutan
